file: berlin52.txt
alpha: 1, beta: 1, evaporation_rate: 0.1,  best_distance: 12501.729566494236, time: 5.941709518432617
alpha: 1, beta: 1, evaporation_rate: 0.1,  best_distance: 11966.311228607065, time: 6.726636171340942
alpha: 1, beta: 1, evaporation_rate: 0.1,  best_distance: 12398.144841434254, time: 5.699251651763916

alpha: 1, beta: 2, evaporation_rate: 0.1,  best_distance: 8934.54395765155, time: 5.31852126121521
alpha: 1, beta: 2, evaporation_rate: 0.1,  best_distance: 9318.589107642709, time: 5.513264179229736
alpha: 1, beta: 2, evaporation_rate: 0.1,  best_distance: 8737.005888317823, time: 5.956262826919556

alpha: 1, beta: 3, evaporation_rate: 0.1,  best_distance: 8408.585458501517, time: 6.502722978591919
alpha: 1, beta: 3, evaporation_rate: 0.1,  best_distance: 8583.041638097997, time: 5.1095969676971436
alpha: 1, beta: 3, evaporation_rate: 0.1,  best_distance: 8759.604729188844, time: 5.018505811691284

alpha: 1, beta: 4, evaporation_rate: 0.1,  best_distance: 8467.256136140513, time: 5.126565217971802
alpha: 1, beta: 4, evaporation_rate: 0.1,  best_distance: 8402.2009450499, time: 5.012453317642212
alpha: 1, beta: 4, evaporation_rate: 0.1,  best_distance: 8402.440164824655, time: 4.941707134246826

alpha: 1, beta: 5, evaporation_rate: 0.1,  best_distance: 8329.647420279876, time: 5.264037609100342
alpha: 1, beta: 5, evaporation_rate: 0.1,  best_distance: 8197.142871234004, time: 4.9828057289123535
alpha: 1, beta: 5, evaporation_rate: 0.1,  best_distance: 8461.970155923651, time: 4.937648057937622

alpha: 1, beta: 6, evaporation_rate: 0.1,  best_distance: 8549.112590883038, time: 5.116722583770752
alpha: 1, beta: 6, evaporation_rate: 0.1,  best_distance: 8397.260816549328, time: 4.984720468521118
alpha: 1, beta: 6, evaporation_rate: 0.1,  best_distance: 8300.545574731483, time: 4.986795663833618

alpha: 1, beta: 7, evaporation_rate: 0.1,  best_distance: 8294.163942349443, time: 5.141633987426758
alpha: 1, beta: 7, evaporation_rate: 0.1,  best_distance: 8273.163383529774, time: 4.987406492233276
alpha: 1, beta: 7, evaporation_rate: 0.1,  best_distance: 8402.010647733345, time: 4.970017910003662

alpha: 1, beta: 8, evaporation_rate: 0.1,  best_distance: 8110.593067027547, time: 5.092927694320679
alpha: 1, beta: 8, evaporation_rate: 0.1,  best_distance: 8085.053405731603, time: 5.170953750610352
alpha: 1, beta: 8, evaporation_rate: 0.1,  best_distance: 8296.877020569458, time: 4.9481823444366455

alpha: 1, beta: 9, evaporation_rate: 0.1,  best_distance: 8160.076494760694, time: 5.140503883361816
alpha: 1, beta: 9, evaporation_rate: 0.1,  best_distance: 8345.700674349482, time: 5.512122392654419
alpha: 1, beta: 9, evaporation_rate: 0.1,  best_distance: 8270.47980724876, time: 5.844194650650024

alpha: 1, beta: 10, evaporation_rate: 0.1,  best_distance: 8020.4661315589565, time: 5.14854621887207
alpha: 1, beta: 10, evaporation_rate: 0.1,  best_distance: 8091.341370911391, time: 4.969884872436523
alpha: 1, beta: 10, evaporation_rate: 0.1,  best_distance: 8220.902043071004, time: 5.93882942199707

alpha: 1, beta: 11, evaporation_rate: 0.1,  best_distance: 8099.848263865099, time: 5.224113702774048
alpha: 1, beta: 11, evaporation_rate: 0.1,  best_distance: 8126.6200520885195, time: 5.066654443740845
alpha: 1, beta: 11, evaporation_rate: 0.1,  best_distance: 7914.721137407367, time: 4.97148323059082

alpha: 1, beta: 12, evaporation_rate: 0.1,  best_distance: 8155.852002100779, time: 5.12267279624939
alpha: 1, beta: 12, evaporation_rate: 0.1,  best_distance: 8142.955406308756, time: 4.9755988121032715
alpha: 1, beta: 12, evaporation_rate: 0.1,  best_distance: 8133.035984131764, time: 4.969561815261841

alpha: 1, beta: 13, evaporation_rate: 0.1,  best_distance: 8546.89924784609, time: 5.098753213882446
alpha: 1, beta: 13, evaporation_rate: 0.1,  best_distance: 8142.216749302395, time: 5.004053831100464
alpha: 1, beta: 13, evaporation_rate: 0.1,  best_distance: 8159.4474257205675, time: 4.98624324798584

alpha: 1, beta: 14, evaporation_rate: 0.1,  best_distance: 8171.484651859295, time: 5.1483542919158936
alpha: 1, beta: 14, evaporation_rate: 0.1,  best_distance: 8411.935751952673, time: 5.0094897747039795
alpha: 1, beta: 14, evaporation_rate: 0.1,  best_distance: 7972.529738614938, time: 5.121678590774536

alpha: 1, beta: 15, evaporation_rate: 0.1,  best_distance: 8150.02447658063, time: 5.138421535491943
alpha: 1, beta: 15, evaporation_rate: 0.1,  best_distance: 8239.64464428887, time: 4.9632933139801025
alpha: 1, beta: 15, evaporation_rate: 0.1,  best_distance: 8203.561872683751, time: 4.940751075744629

alpha: 1, beta: 16, evaporation_rate: 0.1,  best_distance: 8521.06661714989, time: 5.110367298126221
alpha: 1, beta: 16, evaporation_rate: 0.1,  best_distance: 8096.8680019161775, time: 5.042813539505005
alpha: 1, beta: 16, evaporation_rate: 0.1,  best_distance: 8075.504831763552, time: 5.133008718490601

alpha: 1, beta: 17, evaporation_rate: 0.1,  best_distance: 8173.494952541345, time: 5.303918123245239
alpha: 1, beta: 17, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.1486124992370605
alpha: 1, beta: 17, evaporation_rate: 0.1,  best_distance: 8571.09195880319, time: 5.179592609405518

alpha: 1, beta: 18, evaporation_rate: 0.1,  best_distance: 8324.822517346412, time: 5.4182257652282715
alpha: 1, beta: 18, evaporation_rate: 0.1,  best_distance: 8101.542858222559, time: 5.175964593887329
alpha: 1, beta: 18, evaporation_rate: 0.1,  best_distance: 8619.75408411175, time: 5.144753932952881

alpha: 1, beta: 19, evaporation_rate: 0.1,  best_distance: 8598.471501196798, time: 5.371501922607422
alpha: 1, beta: 19, evaporation_rate: 0.1,  best_distance: 8645.820075798982, time: 5.160937547683716
alpha: 1, beta: 19, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.118426084518433

alpha: 1, beta: 20, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.300679922103882
alpha: 1, beta: 20, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.162067890167236
alpha: 1, beta: 20, evaporation_rate: 0.1,  best_distance: 8634.977219569766, time: 5.12991189956665

alpha: 2, beta: 1, evaporation_rate: 0.1,  best_distance: 8958.275583403327, time: 5.257867097854614
alpha: 2, beta: 1, evaporation_rate: 0.1,  best_distance: 9260.66052991738, time: 5.145108938217163
alpha: 2, beta: 1, evaporation_rate: 0.1,  best_distance: 8425.448950115231, time: 5.127843618392944

alpha: 2, beta: 2, evaporation_rate: 0.1,  best_distance: 8484.140324669323, time: 5.480951309204102
alpha: 2, beta: 2, evaporation_rate: 0.1,  best_distance: 8388.783607541527, time: 5.205431699752808
alpha: 2, beta: 2, evaporation_rate: 0.1,  best_distance: 8082.13784440703, time: 5.145751714706421

alpha: 2, beta: 3, evaporation_rate: 0.1,  best_distance: 8935.532965868357, time: 5.325627565383911
alpha: 2, beta: 3, evaporation_rate: 0.1,  best_distance: 8658.350367561034, time: 5.182060956954956
alpha: 2, beta: 3, evaporation_rate: 0.1,  best_distance: 8458.137338751707, time: 5.149373531341553

alpha: 2, beta: 4, evaporation_rate: 0.1,  best_distance: 8385.63675520039, time: 5.303274393081665
alpha: 2, beta: 4, evaporation_rate: 0.1,  best_distance: 8497.491799858788, time: 5.165824890136719
alpha: 2, beta: 4, evaporation_rate: 0.1,  best_distance: 8117.967988075134, time: 5.132623910903931

alpha: 2, beta: 5, evaporation_rate: 0.1,  best_distance: 8264.220222873417, time: 5.294815540313721
alpha: 2, beta: 5, evaporation_rate: 0.1,  best_distance: 8355.741091554846, time: 5.581620931625366
alpha: 2, beta: 5, evaporation_rate: 0.1,  best_distance: 8398.956753097118, time: 5.126698970794678

alpha: 2, beta: 6, evaporation_rate: 0.1,  best_distance: 8336.057305353284, time: 5.782223224639893
alpha: 2, beta: 6, evaporation_rate: 0.1,  best_distance: 8138.356982180739, time: 5.154335975646973
alpha: 2, beta: 6, evaporation_rate: 0.1,  best_distance: 8384.016664979114, time: 5.146282196044922

alpha: 2, beta: 7, evaporation_rate: 0.1,  best_distance: 8163.150888306551, time: 5.301732063293457
alpha: 2, beta: 7, evaporation_rate: 0.1,  best_distance: 8269.692122283024, time: 5.189418077468872
alpha: 2, beta: 7, evaporation_rate: 0.1,  best_distance: 8368.505616527957, time: 5.128774642944336

alpha: 2, beta: 8, evaporation_rate: 0.1,  best_distance: 8077.795503549321, time: 5.371307134628296
alpha: 2, beta: 8, evaporation_rate: 0.1,  best_distance: 8203.455478043987, time: 5.4574151039123535
alpha: 2, beta: 8, evaporation_rate: 0.1,  best_distance: 8371.91632971561, time: 5.128446578979492

alpha: 2, beta: 9, evaporation_rate: 0.1,  best_distance: 8078.820822615404, time: 5.323601484298706
alpha: 2, beta: 9, evaporation_rate: 0.1,  best_distance: 8403.332915918802, time: 5.161386728286743
alpha: 2, beta: 9, evaporation_rate: 0.1,  best_distance: 8305.094391777948, time: 5.150677919387817

alpha: 2, beta: 10, evaporation_rate: 0.1,  best_distance: 8257.366573824604, time: 5.411504030227661
alpha: 2, beta: 10, evaporation_rate: 0.1,  best_distance: 8170.145095799275, time: 5.165477991104126
alpha: 2, beta: 10, evaporation_rate: 0.1,  best_distance: 8191.265739396855, time: 5.132521390914917

alpha: 2, beta: 11, evaporation_rate: 0.1,  best_distance: 8421.373560283531, time: 5.297495365142822
alpha: 2, beta: 11, evaporation_rate: 0.1,  best_distance: 8092.252960015658, time: 5.168717622756958
alpha: 2, beta: 11, evaporation_rate: 0.1,  best_distance: 8171.484651859295, time: 5.133856773376465

alpha: 2, beta: 12, evaporation_rate: 0.1,  best_distance: 8467.796062564603, time: 5.300124168395996
alpha: 2, beta: 12, evaporation_rate: 0.1,  best_distance: 8400.900478784893, time: 5.135286808013916
alpha: 2, beta: 12, evaporation_rate: 0.1,  best_distance: 8547.719542173676, time: 5.150686502456665

alpha: 2, beta: 13, evaporation_rate: 0.1,  best_distance: 8169.106961221311, time: 5.432809829711914
alpha: 2, beta: 13, evaporation_rate: 0.1,  best_distance: 8173.708904272003, time: 5.204555034637451
alpha: 2, beta: 13, evaporation_rate: 0.1,  best_distance: 8367.046947341069, time: 5.178572416305542

alpha: 2, beta: 14, evaporation_rate: 0.1,  best_distance: 8042.505909348275, time: 5.307037115097046
alpha: 2, beta: 14, evaporation_rate: 0.1,  best_distance: 8185.962234965389, time: 5.19545841217041
alpha: 2, beta: 14, evaporation_rate: 0.1,  best_distance: 8460.252572222826, time: 5.147656679153442

alpha: 2, beta: 15, evaporation_rate: 0.1,  best_distance: 8510.695968766722, time: 5.301551818847656
alpha: 2, beta: 15, evaporation_rate: 0.1,  best_distance: 8443.989846974659, time: 5.14409613609314
alpha: 2, beta: 15, evaporation_rate: 0.1,  best_distance: 8215.547990025732, time: 5.1750829219818115

alpha: 2, beta: 16, evaporation_rate: 0.1,  best_distance: 8633.459991746338, time: 5.33774209022522
alpha: 2, beta: 16, evaporation_rate: 0.1,  best_distance: 8173.494952541345, time: 5.160647630691528
alpha: 2, beta: 16, evaporation_rate: 0.1,  best_distance: 8634.977219569766, time: 5.113196611404419

alpha: 2, beta: 17, evaporation_rate: 0.1,  best_distance: 8545.76497154108, time: 5.3347907066345215
alpha: 2, beta: 17, evaporation_rate: 0.1,  best_distance: 8475.81411935509, time: 5.152640104293823
alpha: 2, beta: 17, evaporation_rate: 0.1,  best_distance: 8599.015871106625, time: 5.164947271347046

alpha: 2, beta: 18, evaporation_rate: 0.1,  best_distance: 8521.362926497433, time: 5.315786600112915
alpha: 2, beta: 18, evaporation_rate: 0.1,  best_distance: 8191.21277742776, time: 5.246516227722168
alpha: 2, beta: 18, evaporation_rate: 0.1,  best_distance: 8329.219044602885, time: 5.1455934047698975

alpha: 2, beta: 19, evaporation_rate: 0.1,  best_distance: 8689.553077828394, time: 5.287555932998657
alpha: 2, beta: 19, evaporation_rate: 0.1,  best_distance: 8510.992278114265, time: 5.18013858795166
alpha: 2, beta: 19, evaporation_rate: 0.1,  best_distance: 8629.947469153529, time: 5.1665120124816895

alpha: 2, beta: 20, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.296583890914917
alpha: 2, beta: 20, evaporation_rate: 0.1,  best_distance: 8739.068714881638, time: 5.148954629898071
alpha: 2, beta: 20, evaporation_rate: 0.1,  best_distance: 8298.942373243917, time: 5.134037733078003

alpha: 3, beta: 1, evaporation_rate: 0.1,  best_distance: 8843.690096324768, time: 5.471428155899048
alpha: 3, beta: 1, evaporation_rate: 0.1,  best_distance: 9119.323335058714, time: 5.1960461139678955
alpha: 3, beta: 1, evaporation_rate: 0.1,  best_distance: 8956.834782603417, time: 5.13049054145813

alpha: 3, beta: 2, evaporation_rate: 0.1,  best_distance: 8595.03263117146, time: 5.308155298233032
alpha: 3, beta: 2, evaporation_rate: 0.1,  best_distance: 8521.083303547639, time: 5.192732810974121
alpha: 3, beta: 2, evaporation_rate: 0.1,  best_distance: 8696.651284596881, time: 5.1293089389801025

alpha: 3, beta: 3, evaporation_rate: 0.1,  best_distance: 8593.072034383666, time: 5.337754487991333
alpha: 3, beta: 3, evaporation_rate: 0.1,  best_distance: 8621.932466517654, time: 5.160699844360352
alpha: 3, beta: 3, evaporation_rate: 0.1,  best_distance: 8742.469375339037, time: 5.556753635406494

alpha: 3, beta: 4, evaporation_rate: 0.1,  best_distance: 8336.012965986381, time: 5.279948949813843
alpha: 3, beta: 4, evaporation_rate: 0.1,  best_distance: 8506.498911119375, time: 5.174699068069458
alpha: 3, beta: 4, evaporation_rate: 0.1,  best_distance: 8775.952441232974, time: 5.142023324966431

alpha: 3, beta: 5, evaporation_rate: 0.1,  best_distance: 8462.317551747597, time: 5.310626029968262
alpha: 3, beta: 5, evaporation_rate: 0.1,  best_distance: 8675.82393685123, time: 5.18117356300354
alpha: 3, beta: 5, evaporation_rate: 0.1,  best_distance: 8405.49435942108, time: 5.165869951248169

alpha: 3, beta: 6, evaporation_rate: 0.1,  best_distance: 8358.532674607855, time: 5.286242723464966
alpha: 3, beta: 6, evaporation_rate: 0.1,  best_distance: 8205.690360533856, time: 5.261714696884155
alpha: 3, beta: 6, evaporation_rate: 0.1,  best_distance: 8502.74350667499, time: 5.1335835456848145

alpha: 3, beta: 7, evaporation_rate: 0.1,  best_distance: 8377.646765176234, time: 5.4263811111450195
alpha: 3, beta: 7, evaporation_rate: 0.1,  best_distance: 8137.717211448241, time: 6.034230947494507
alpha: 3, beta: 7, evaporation_rate: 0.1,  best_distance: 8294.3256801381, time: 5.275420904159546

alpha: 3, beta: 8, evaporation_rate: 0.1,  best_distance: 8127.659410785556, time: 6.025853157043457
alpha: 3, beta: 8, evaporation_rate: 0.1,  best_distance: 8121.887129629846, time: 8.046224594116211
alpha: 3, beta: 8, evaporation_rate: 0.1,  best_distance: 8406.832154242044, time: 8.071981191635132

alpha: 3, beta: 9, evaporation_rate: 0.1,  best_distance: 8355.156412948121, time: 6.516044855117798
alpha: 3, beta: 9, evaporation_rate: 0.1,  best_distance: 8265.231912578793, time: 2.985089063644409
alpha: 3, beta: 9, evaporation_rate: 0.1,  best_distance: 8350.744578628004, time: 7.701601505279541

alpha: 3, beta: 10, evaporation_rate: 0.1,  best_distance: 8225.162974242126, time: 6.677974700927734
alpha: 3, beta: 10, evaporation_rate: 0.1,  best_distance: 8113.953499491083, time: 7.21407151222229
alpha: 3, beta: 10, evaporation_rate: 0.1,  best_distance: 8489.24351171725, time: 5.76179313659668

alpha: 3, beta: 11, evaporation_rate: 0.1,  best_distance: 8362.329234798619, time: 5.171951055526733
alpha: 3, beta: 11, evaporation_rate: 0.1,  best_distance: 8492.197641116934, time: 5.007703542709351
alpha: 3, beta: 11, evaporation_rate: 0.1,  best_distance: 8113.953499491083, time: 4.98117208480835

alpha: 3, beta: 12, evaporation_rate: 0.1,  best_distance: 8133.035984131764, time: 5.189476490020752
alpha: 3, beta: 12, evaporation_rate: 0.1,  best_distance: 8301.63081991551, time: 4.971858263015747
alpha: 3, beta: 12, evaporation_rate: 0.1,  best_distance: 8326.303512837305, time: 4.987774848937988

alpha: 3, beta: 13, evaporation_rate: 0.1,  best_distance: 8185.962234965389, time: 5.453558921813965
alpha: 3, beta: 13, evaporation_rate: 0.1,  best_distance: 8143.132189034873, time: 4.98918604850769
alpha: 3, beta: 13, evaporation_rate: 0.1,  best_distance: 8394.853257578912, time: 4.970705986022949

alpha: 3, beta: 14, evaporation_rate: 0.1,  best_distance: 8171.484651859295, time: 5.163626670837402
alpha: 3, beta: 14, evaporation_rate: 0.1,  best_distance: 8518.73169454376, time: 5.004686117172241
alpha: 3, beta: 14, evaporation_rate: 0.1,  best_distance: 8247.085204135647, time: 4.987573862075806

alpha: 3, beta: 15, evaporation_rate: 0.1,  best_distance: 8341.922429788048, time: 5.149688005447388
alpha: 3, beta: 15, evaporation_rate: 0.1,  best_distance: 8660.29587530225, time: 4.986767768859863
alpha: 3, beta: 15, evaporation_rate: 0.1,  best_distance: 8316.238859377398, time: 4.964749813079834

alpha: 3, beta: 16, evaporation_rate: 0.1,  best_distance: 8375.292096743598, time: 5.180990934371948
alpha: 3, beta: 16, evaporation_rate: 0.1,  best_distance: 8155.555692753238, time: 4.9932451248168945
alpha: 3, beta: 16, evaporation_rate: 0.1,  best_distance: 8193.020802220937, time: 4.995517730712891

alpha: 3, beta: 17, evaporation_rate: 0.1,  best_distance: 8520.500149148358, time: 5.1535680294036865
alpha: 3, beta: 17, evaporation_rate: 0.1,  best_distance: 8553.755702444927, time: 5.059865713119507
alpha: 3, beta: 17, evaporation_rate: 0.1,  best_distance: 8469.627079141703, time: 4.942577362060547

alpha: 3, beta: 18, evaporation_rate: 0.1,  best_distance: 8706.096521385554, time: 5.157408714294434
alpha: 3, beta: 18, evaporation_rate: 0.1,  best_distance: 8718.646255156626, time: 5.009156227111816
alpha: 3, beta: 18, evaporation_rate: 0.1,  best_distance: 8613.435271043465, time: 4.966680288314819

alpha: 3, beta: 19, evaporation_rate: 0.1,  best_distance: 8674.178978028429, time: 5.152215480804443
alpha: 3, beta: 19, evaporation_rate: 0.1,  best_distance: 8656.855348966761, time: 5.044483184814453
alpha: 3, beta: 19, evaporation_rate: 0.1,  best_distance: 8164.079848846085, time: 5.256106376647949

alpha: 3, beta: 20, evaporation_rate: 0.1,  best_distance: 8607.909877608445, time: 5.205970764160156
alpha: 3, beta: 20, evaporation_rate: 0.1,  best_distance: 8659.999565954708, time: 5.019278526306152
